0,79467
1,34082
2,75886
3,34082
4,34082
5,34082
6,34082
7,34082
8,20114
9,34082
10,34082
11,34082
12,34082
13,34082
14,34082
15,34082
16,20114
17,43580
18,78809
19,59888
20,75884
21,51034
22,24823
23,48568
24,71387
25,81385
26,51642
27,71547
28,75496
29,24823
30,20972
31,29647
32,21007
33,69325
34,47541,48056
35,19977
36,42316
37,53681
38,28586
39,28592
40,75985
41,70142
42,18788
43,23424
44,43835
45,29503
46,29503,62037
47,77121
48,21437
49,66644
50,62800
51,22846
52,8652
53,29503,62037
54,31225
55,68736
56,52869
57,53444
58,60397,76062
59,44415
60,35228
61,77121
62,29503
63,77121
64,77121
65,62043,77121
66,23689
67,29503
68,44679
69,77121
70,29503
71,3800
72,72895
73,3801
74,3799
75,498
76,497
77,74531
78,1512,38423
79,59515
80,7420
81,40285
82,52852
83,27758
84,8409
85,21763
86,56077
87,75886
88,75886
89,40285
90,56077
91,23467
92,35228
93,77121
94,36033
95,45788
96,22414
97,18877
98,18877
99,35773
100,56085
101,6269
102,66980
103,21955
104,24320
105,60541
106,27758
107,40285
108,65903
109,20750
110,21713
111,40281
112,40285
113,29503,62037
114,27195
115,21712
116,20750
117,24320
118,24316
119,24326
120,56077
121,35083
122,35082
123,65526
124,6946
125,29483
126,66644
127,21713
128,72924
129,47996
130,21713
131,55909
132,80418
133,75734
134,40285
135,15424
136,30893
137,7733
138,35083
139,52852
140,21956
141,40285
142,40281
143,29616
144,35083
145,55385
146,52626
147,55044
148,55045
149,29616
150,35773
151,62037,77121
152,21712
153,24320
154,20420
155,52852
156,66980
157,24320
158,21956
159,55045
160,30212
161,39662
162,52626
163,21713
164,21006,56057
165,30212
166,20750
167,35228
168,35227
169,39662
170,21956
171,22637
172,20750
173,20750
174,29616
175,24320
176,56177
177,77121
178,25296
179,15305
180,21713
181,52869
182,21437
183,54132
184,55385
185,81994
186,13740
187,13740
188,55385
189,618
190,29503
191,35228
192,15305
193,75440
194,8652
195,56077
196,43332
197,25296
198,72900
199,21713
200,21712
201,59841
202,43082
203,29503,62037
204,66980
205,72924
206,35083
207,52852
208,67401
209,39661
210,39662
211,66644
212,64693
213,7656
214,7656
215,35228
216,48929
217,21436
218,64693
219,33918
220,79345
221,33698
222,52626
223,60570
224,68483
225,19644
226,68617
227,3703
228,3707
229,3697
230,72895
231,21713
232,56177
233,68483
234,33315
235,48929
236,21956
237,55045
238,49153
239,235
240,55909
241,56177
242,26077
243,79867
244,24320
245,46359
246,55909
247,38075
248,29483
249,6946
250,795
251,68608
252,6953
253,61202
254,52852
255,24316
256,20750
257,22638
258,22640
259,39032
260,36367
261,6942
262,35083
263,12043
264,39037
265,39031
266,6953
267,35228
268,66980
269,40285
270,76257
271,1319
272,46733
273,54986
274,1324
275,61202
276,31647
277,60166
278,605
279,609
280,67788
281,28481
282,76887
283,31966
284,32446
285,32976
286,40734
287,40734
288,40734
289,37516
290,59237
291,69969
292,56659
293,81018
294,19618
295,52641
296,53114
297,55015
298,57571
299,52641
300,40734
301,77570
302,81003
303,28023
304,46405
305,5192
306,15811
307,44791
308,44801
309,56129
310,44679
311,76710
312,21956
313,55909
314,65902
315,24320
316,41856
317,41860
318,41857
319,56147
320,21956
321,44679
322,51362
323,19629
324,27758,29775
325,14302
326,57066
327,24320
328,45801
329,21956
330,7655
331,61034
332,65903
333,6868
334,39662
335,55045
336,29616
337,7656
338,62460
339,37608
340,40281
341,40285
342,29503
343,42414
344,77121
345,24320
346,72924
347,14485
348,14485
349,22638
350,22640
351,55045
352,27758
353,61202
354,49786
355,13082
356,11274
357,7656
358,81703
359,29191
360,52852
361,52851
362,52852
363,30614
364,19790
365,19644
366,19644
367,30614
368,34187
369,11665
370,66644
371,75870
372,24320
373,27757
374,24320
375,55909
376,21956
377,9212
378,54943
379,65709
380,49786
381,15304
382,29503
383,75886
384,18515
385,30893
386,7733
387,65708
388,29503
389,29503,62037
390,75886
391,11472
392,11473
393,66644
394,15807,703
395,605
396,39786
397,50240
398,70102,70695
399,21436
400,28768
401,49786
402,703
403,410
404,59853
405,64693
406,29547
407,41882
408,32634
409,65608
410,605
411,26117
412,60958
413,24320
414,24316
415,1704
416,8210
